date,district,rainfall_mm,river_gauge_m,danger_gauge_m,gauge_exceed,population_density,road_accessibility_index,distance_to_coast_km,past_incident_30d,lat,lon,relief_kits_demand
2021-01-01,Puri,1.6,3.11,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-01-02,Puri,3.3,2.95,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-01-03,Puri,0.5,2.74,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-01-04,Puri,1.1,2.49,5.5,0.0,488,0.55,5,0,19.8,85.83,59
2021-01-05,Puri,0.2,2.3,5.5,0.0,488,0.55,5,0,19.8,85.83,56
2021-01-06,Puri,3.1,2.17,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-01-07,Puri,0.5,2.01,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-01-08,Puri,0.4,1.85,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-01-09,Puri,0.9,1.69,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-01-10,Puri,1.9,1.56,5.5,0.0,488,0.55,5,0,19.8,85.83,53
2021-01-11,Puri,1.1,1.48,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-01-12,Puri,1.0,1.37,5.5,0.0,488,0.55,5,0,19.8,85.83,59
2021-01-13,Puri,0.6,1.26,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-01-14,Puri,2.3,1.22,5.5,0.0,488,0.55,5,0,19.8,85.83,55
2021-01-15,Puri,0.6,1.11,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-01-16,Puri,1.6,1.09,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-01-17,Puri,2.1,1.02,5.5,0.0,488,0.55,5,0,19.8,85.83,67
2021-01-18,Puri,0.6,0.93,5.5,0.0,488,0.55,5,0,19.8,85.83,58
2021-01-19,Puri,0.7,0.9,5.5,0.0,488,0.55,5,0,19.8,85.83,58
2021-01-20,Puri,2.8,0.89,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-01-21,Puri,0.4,0.83,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-01-22,Puri,3.3,0.83,5.5,0.0,488,0.55,5,0,19.8,85.83,66
2021-01-23,Puri,0.6,0.77,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-01-24,Puri,1.2,0.71,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-01-25,Puri,0.5,0.69,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-01-26,Puri,1.2,0.66,5.5,0.0,488,0.55,5,0,19.8,85.83,59
2021-01-27,Puri,2.1,0.63,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-01-28,Puri,0.6,0.6,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-01-29,Puri,1.1,0.53,5.5,0.0,488,0.55,5,0,19.8,85.83,64
2021-01-30,Puri,0.5,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,63
