date,district,rainfall_mm,river_gauge_m,danger_gauge_m,gauge_exceed,population_density,road_accessibility_index,distance_to_coast_km,past_incident_30d,lat,lon,relief_kits_demand,rainfall_lag1,gauge_lag1,rainfall_lag3,gauge_lag3,rainfall_lag7,gauge_lag7,rainfall_lag14,gauge_lag14,rainfall_roll3,demand_roll3,rainfall_roll7,demand_roll7,rainfall_roll14,demand_roll14,rainfall_roll30,demand_roll30,gauge_trend_7,doy,sin_doy,cos_doy,is_monsoon,is_cyclone_season,district_cat
2021-01-01,Balasore,0.1,3.22,5.8,0.0,601,0.62,15,0,21.5,86.93,80,,,,,,,,,,,,,,,,,,1,0.017201575418260506,0.9998520419557735,0,0,Balasore
2021-01-02,Balasore,0.5,2.97,5.8,0.0,601,0.62,15,0,21.5,86.93,68,0.1,3.22,,,,,,,,,,,,,,,,2,0.03439806061360801,0.9994082116062598,0,0,Balasore
2021-01-03,Balasore,0.2,2.71,5.8,0.0,601,0.62,15,0,21.5,86.93,76,0.5,2.97,,,,,,,0.8,74.66666666666667,,,,,,,,3,0.051584366869408364,0.9986686402879997,0,0,Balasore
2021-01-04,Balasore,2.7,2.5,5.8,0.0,601,0.62,15,0,21.5,86.93,79,0.2,2.71,0.1,3.22,,,,,3.4000000000000004,74.33333333333333,,,,,,,,4,0.06875540848113941,0.9976335468520451,0,0,Balasore
2021-01-05,Balasore,0.0,2.28,5.8,0.0,601,0.62,15,0,21.5,86.93,70,2.7,2.5,0.5,2.97,,,,,2.9000000000000004,75.0,,,,,,,,5,0.08590610426133272,0.9963032375991965,0,0,Balasore
2021-01-06,Balasore,3.5,2.17,5.8,0.0,601,0.62,15,0,21.5,86.93,79,0.0,2.28,0.2,2.71,,,,,6.2,76.0,,,,,,,,6,0.10303137904317879,0.9946781061893646,0,0,Balasore
2021-01-07,Balasore,5.8,2.1,5.8,0.0,601,0.62,15,0,21.5,86.93,95,3.5,2.17,2.7,2.5,,,,,9.3,81.33333333333333,12.8,78.14285714285714,,,,,,7,0.1201261651823505,0.9927586335250793,0,0,Balasore
2021-01-08,Balasore,1.7,2.0,5.8,0.0,601,0.62,15,0,21.5,86.93,65,5.8,2.1,0.0,2.28,0.1,3.22,,,11.0,79.66666666666667,14.4,76.0,,,,,-1.2200000000000002,8,0.13718540405660057,0.9905453876091833,0,0,Balasore
2021-01-09,Balasore,5.0,1.92,5.8,0.0,601,0.62,15,0,21.5,86.93,96,1.7,2.0,3.5,2.17,0.5,2.97,,,12.5,85.33333333333333,18.9,80.0,,,,,-1.0500000000000003,9,0.1542040475626894,0.988039023376751,0,0,Balasore
2021-01-10,Balasore,0.9,1.78,5.8,0.0,601,0.62,15,0,21.5,86.93,80,5.0,1.92,5.8,2.1,0.2,2.71,,,7.6000000000000005,80.33333333333333,19.6,80.57142857142857,,,,,-0.9299999999999999,10,0.17117705961019986,0.985240282501282,0,0,Balasore
