district,horizon_days,predicted_kits,lower_90pct_band,upper_90pct_band,lat,lon,drinking_water_litres,dry_ration_packs,ors_sachets,tarpaulin_sheets,medical_kit_units
Khordha,7,698.3,688.6,715.0,20.18,85.6,10474.6,698.3,2793.2,174.6,69.8
Balasore,7,531.4,518.5,542.4,21.5,86.93,7971.7,531.4,2125.8,132.9,53.1
Ganjam,7,549.6,545.7,562.8,19.4,84.8,8244.5,549.6,2198.5,137.4,55.0
Kendrapara,7,670.2,658.9,677.1,20.5,86.6,10052.7,670.2,2680.7,167.5,67.0
Bhadrak,7,640.1,623.8,651.4,21.06,86.5,9602.2,640.1,2560.6,160.0,64.0
Jagatsinghpur,7,686.3,668.9,700.2,20.25,86.17,10294.7,686.3,2745.3,171.6,68.6
Puri,7,438.5,427.1,445.1,19.8,85.83,6578.1,438.5,1754.2,109.6,43.9
Khordha,14,1409.0,1398.9,1427.4,20.18,85.6,21134.8,1409.0,5635.9,352.2,140.9
Balasore,14,1045.9,1031.2,1047.7,21.5,86.93,15687.8,1045.9,4183.4,261.5,104.6
Ganjam,14,1088.4,1079.0,1101.0,19.4,84.8,16325.6,1088.4,4353.5,272.1,108.8
Kendrapara,14,1316.9,1302.8,1326.8,20.5,86.6,19753.0,1316.9,5267.5,329.2,131.7
Bhadrak,14,1273.7,1250.1,1283.2,21.06,86.5,19105.0,1273.7,5094.7,318.4,127.4
Jagatsinghpur,14,1393.9,1382.7,1408.7,20.25,86.17,20908.3,1393.9,5575.6,348.5,139.4
Puri,14,864.8,855.7,875.6,19.8,85.83,12972.1,864.8,3459.2,216.2,86.5
Khordha,30,2980.4,2971.3,2992.8,20.18,85.6,44705.8,2980.4,11921.5,745.1,298.0
Balasore,30,2240.9,2236.0,2246.6,21.5,86.93,33613.9,2240.9,8963.7,560.2,224.1
Ganjam,30,2337.7,2322.4,2349.6,19.4,84.8,35064.9,2337.7,9350.6,584.4,233.8
Kendrapara,30,2763.7,2741.8,2777.9,20.5,86.6,41455.3,2763.7,11054.7,690.9,276.4
Bhadrak,30,2694.1,2671.7,2701.8,21.06,86.5,40412.2,2694.1,10776.6,673.5,269.4
Jagatsinghpur,30,2874.7,2854.4,2895.0,20.25,86.17,43121.0,2874.7,11498.9,718.7,287.5
Puri,30,1852.6,1839.7,1895.9,19.8,85.83,27788.3,1852.6,7410.2,463.1,185.3
